"account","amount_0","amount_1"
"Ⅰ.売上高","0","904,937,072"
"Ⅱ.製造原価","0","710,226,396"
"期首用紙棚卸高","15,865,704","119,115,700"
"当期用紙仕入高","130,935,959","0"
"期末用紙棚卸高","-27,685,963","0"
"外注加エ","338,791,191","374,855,154"
"海外外注加工","18,748,769","0"
"発送費","17,315,194","0"
"工賃","84,831,861","84,831,861"
"製造費","20,255,244","96,923,055"
"工場経費","19,440,977","0"
"資材費","55,502,308","0"
"メンテナ費","1,724,526","0"
"法定福利費","15,411,211","18,148,749"
"福利厚生費","720,440","0"
"通勤費","2,017,098","0"
"地代","3,840,000","17,845,460"
"自動車管理費","696,273","0"
"減価償却費","13,309,187","0"
"期首仕掛品棚卸高","27,886,374","-1,493,583"
"期末仕掛品棚卸高","-27,932,163","0"
"期首在庫製品棚卸高","24,801,553","0"
"期末在庫製品棚卸高","-26,249,347","0"
