"account","amount_0","amount_1"
"Ⅰ株主資本","0","0"
"1.資本金","0","0"
"当期首残高","0","4,000,000"
"当期変動額","0","0"
"当期末残高","0","4,000,000"
"2.利益剰余金","0","0"
"(1)その他利益剰余金","0","0"
"繰越利益剰余金","0","0"
"当期首残高","0","-12,331,635"
"当期変動頼","0","0"
"当期純損失","-6,935,914","-6,935,914"
"当期末残高","0","-19,267,549"
"その他利益剰余金合計","0","0"
"当期首残高","0","-12,331,635"
"当期変動類","0","0"
"当期純損失","-6,935,914","-6,935,914"
"当期末残高","0","-19,267,549"
"株主資本合計","0","0"
"当期首残高","0","-8,331,635"
"当期変動額","0","0"
"当期純損失","-6,935,914","-6,935,914"
"当期末残高","0","-15,267,549"
"Ⅱ評価・換算差額等","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"Ⅲ新株予約権","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"純資産の部合計","0","0"
"当期首残高","0","-8,331,635"
"当期変動額","0","0"
"当期純損失","-6,935,914","-6,935,914"
"当期末残高","0","-15,267,549"
