"account","amount_0","amount_1"
"投資その他の資産合計","51,419,524","0"
"固定資産合計","0","424,707,165"
"資産の部会計","0","905,209,018"
"【流動負債】","0","0"
"買掛金","154,288,444","0"
"短期借入金","150,000,000","0"
"未払金","65,143,776","0"
"未払法人税等","182,500","0"
"預り金","1,962,704","0"
"リース債務","5,839,350","0"
"流動負債合計","0","377,416,774"
"【固定負債】","0","0"
"長期借入金","87,706,000","0"
"固定負債合計","0","87,706,000"
"負債の部合計","0","465,122,774"
"【株主資本】","0","0"
"資本金","14,000,000","0"
"利益剰余金","0","0"
"その他利益剰余金","0","0"
"繰越利益剩余金","426,086,244","0"
"その他利益剰余金合計","426,086,244","0"
"利益剰余金合計","426,086,244","0"
"株主資本合計","0","440,086,244"
"純資産の部合計","0","440,086,244"
"負債及び純資産合計","0","905,209,018"
