"account","amount_0","amount_1"
"Ⅰ株主資本","0","0"
"1資本金","0","0"
"当期首残高","0","11,000,000"
"当期変動額","0","0"
"当期末残高","0","11,000,000"
"2.利益剰余金","0","0"
"(1)利益準備金","0","0"
"当期首残高","0","450,000"
"当期変動額","0","0"
"当期末残高","0","450,000"
"(2)その他利益剰余金","0","0"
"繰越利益剰余金","0","0"
"当期首残高","0","83,282,887"
"当期変動額","0","0"
"当期純利益","4,671,992","4,671,992"
"当期末残高","0","87,954,879"
"その他利益剰余金合計","0","0"
"当期首残高","0","83,282,887"
"当期変動額","0","0"
"当期純利益","4,671,992","4,671,992"
"当期末残高","0","87,954,879"
"株主資本合計","0","0"
"当期首残高","0","94,732,887"
"当期変動額","0","0"
"当期純利益","4,671,992","4,671,992"
"当期末残高","0","99,404,879"
"Ⅱ評価・換算差額等","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"Ⅲ新株予約権","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"純資産の部合計","0","0"
"当期首残高","0","94,732,887"
"当期変動額","0","0"
"当期純利益","4,671,992","4,671,992"
"当期末残高","0","99,404,879"
