"account","amount_0","amount_1"
"(材料費)","0","0"
"材料費","0","217,143,273"
"(労務費)","0","0"
"賃金手当","62,712,175","0"
"福利厚生費","38,379,749","101,091,924"
"(外注費)","0","0"
"外注費","0","729,432,857"
"(経費)","0","0"
"給料手当","100,642,103","0"
"旅費交通費","5,203,063","0"
"通信運搬費","1,598,633","0"
"減価償却費","15,202,220","0"
"賃借料","145,793,992","0"
"保険料","17,369,409","0"
"修繕費","566,492","0"
"水道光熱費","2,117,487","0"
"消耗品費","42,506,915","0"
"公租公課","1,960,400","0"
"燃油費","22,945,920","0"
"雑費","9,750,772","365,657,406"
"当期工事原価","0","1,413,325,460"
