"account","amount_0","amount_1"
"Ⅰ株主資本","0","0"
"1.資本金","0","0"
"当期首残高","0","45,000,000"
"当期変動額","0","0"
"当期末残高","0","45,000,000"
"2.利益剰余金","0","0"
"(1)利益準備金","0","0"
"当期首残高","0","11,304,000"
"当期変動額","0","0"
"当期末残高","0","11,304,000"
"(2)その他利益剰余金","0","0"
"別途積立金","0","0"
"当期首残高","0","80,000,000"
"当期変動額","0","0"
"当期末残高","0","80,000,000"
"繰越利益剰余金","0","0"
"当期首残高","0","70,429,187"
"当期変動額","0","0"
"当期純利益","11,689,155","11,689,155"
"当期末残高","0","82,118,342"
"その他利益剰余金合計","0","0"
"当期首残高","0","150,429,187"
"当期変動額","0","0"
"当期純利益","11,689,155","11,689,155"
"当期末残高","0","162,118,342"
"3.自己株式","0","0"
"当期首残高","0","-29,649,600"
"当期変動額","0","0"
"自己株式の取得","-11,673,600","-11,673,600"
"当期末残高","0","-41,323,200"
"株主資本合計","0","0"
"当期首残高","0","177,083,587"
"当期変動額","0","0"
"当期純利益","11,689,155","0"
"自己株式の取得","-11,673,600","15,555"
"当期末残高","0","177,099,142"
"Ⅱ評価・換算差額等","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"Ⅲ新株予約権","0","0"
"当期首残高","0","0"
"当期変動額","0","0"
"当期末残高","0","0"
"純資産の部合計","0","0"
"当期首残高","0","177,083,587"
"当期変動額","0","0"
"当期純利益","11,689,155","0"
"自己株式の取得","-11,673,600","15,555"
"当期末残高","0","177,099,142"
